key	sort_order	frontend_faction_leader	frontend_character
ironic_template_historical_shi_fen_hero_water	6	3k_dlc06_political_party_shi_xie_ruler_190	ironic_template_historical_shi_fen_hero_water
3k_main_template_generated_lady_shi_jiejin_hero_water	7	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_generated_lady_shi_jiejin_hero_water
3k_main_template_historical_huan_zhi_hero_wood	8	3k_dlc06_political_party_shi_xie_ruler_190	3k_main_template_historical_huan_zhi_hero_wood
3k_mtu_template_historical_lady_trieu_hero_wood	1	3k_main_political_party_faction_jiuzhen_190	3k_mtu_template_historical_lady_trieu_hero_wood
3k_main_template_historical_ma_liang_hero_water	1	3k_main_political_party_zhu_fu_190	3k_main_template_historical_ma_liang_hero_water
3k_main_template_historical_ma_su_hero_water	2	3k_main_political_party_zhu_fu_190	3k_main_template_historical_ma_su_hero_water
ironic_template_historical_liu_he_hero_earth	0	3k_main_political_party_gan_ning_190	ironic_template_historical_liu_he_hero_earth
3k_main_template_historical_gao_pei_hero_fire	1	3k_main_political_party_zhao_wei_190	3k_main_template_historical_gao_pei_hero_fire
3k_main_template_historical_zhang_song_hero_water	2	3k_main_political_party_zhao_wei_190	3k_main_template_historical_zhang_song_hero_water
ironic_template_historical_leng_bao_hero_wood	3	3k_main_political_party_zhao_wei_190	ironic_template_historical_leng_bao_hero_wood
ironic_template_historical_linghu_na_hero_earth	4	3k_main_political_party_zhao_wei_190	ironic_template_historical_linghu_na_hero_earth
3k_main_template_historical_wang_fu_hero_water	4	3k_main_political_party_jia_long_190	3k_main_template_historical_wang_fu_hero_water
3k_main_template_historical_wang_shi_hero_fire	5	3k_main_political_party_jia_long_190	3k_main_template_historical_wang_shi_hero_fire
3k_main_template_historical_yong_kai_hero_fire	6	3k_main_political_party_jia_long_190	3k_main_template_historical_yong_kai_hero_fire
ironic_template_historical_ma_zhong_hero_wood	7	3k_main_political_party_jia_long_190	ironic_template_historical_ma_zhong_hero_wood
3k_dlc07_template_generated_lady_liu_zhang_water	1	3k_main_political_party_liu_yan_ruler	3k_dlc07_template_generated_lady_liu_zhang_water
3k_dlc07_template_generated_liu_xun_metal	2	3k_main_political_party_liu_yan_ruler	3k_dlc07_template_generated_liu_xun_metal
3k_dlc07_template_historical_liu_mao_hero_water	3	3k_main_political_party_liu_yan_ruler	3k_dlc07_template_historical_liu_mao_hero_water
3k_main_template_generated_lady_liu_mengan_hero_water	4	3k_main_political_party_liu_yan_ruler	3k_main_template_generated_lady_liu_mengan_hero_water
3k_main_template_historical_huang_quan_hero_fire	5	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_huang_quan_hero_fire
3k_main_template_historical_lei_tong_hero_fire	6	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_lei_tong_hero_fire
3k_main_template_historical_peng_yang_hero_water	7	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_peng_yang_hero_water
3k_main_template_historical_wang_lei_hero_water	8	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_wang_lei_hero_water
3k_main_template_historical_wu_yi_hero_fire	9	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_wu_yi_hero_fire
3k_main_template_historical_zhang_ren_hero_fire	10	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_zhang_ren_hero_fire
3k_main_template_historical_zhu_gui_hero_water	11	3k_main_political_party_liu_yan_ruler	3k_main_template_historical_zhu_gui_hero_water
ironic_template_historical_fei_yi_hero_earth	12	3k_main_political_party_liu_yan_ruler	ironic_template_historical_fei_yi_hero_earth
ironic_template_historical_lady_wu_xian	13	3k_main_political_party_liu_yan_ruler	ironic_template_historical_lady_wu_xian
ironic_template_historical_liu_gui_hero_wood	14	3k_main_political_party_liu_yan_ruler	ironic_template_historical_liu_gui_hero_wood
ironic_template_historical_wu_ban_hero_fire	15	3k_main_political_party_liu_yan_ruler	ironic_template_historical_wu_ban_hero_fire
ironic_template_historical_wu_kuang_hero_metal	16	3k_main_political_party_liu_yan_ruler	ironic_template_historical_wu_kuang_hero_metal
ironic_template_historical_yan_yan_hero_metal	17	3k_main_political_party_liu_yan_ruler	ironic_template_historical_yan_yan_hero_metal
ironic_template_historical_zhang_ni_hero_wood	18	3k_main_political_party_liu_yan_ruler	ironic_template_historical_zhang_ni_hero_wood
ironic_template_historical_zhang_yi_hero_metal	19	3k_main_political_party_liu_yan_ruler	ironic_template_historical_zhang_yi_hero_metal
ironic_template_historical_cao_anmin_hero_water	1	3k_main_political_party_cao_cao_ruler	ironic_template_historical_cao_anmin_hero_water
3k_main_template_historical_cao_xiu_hero_fire	2	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_xiu_hero_fire
ironic_template_historical_xi_zhicai_hero_water	3	3k_main_political_party_cao_cao_ruler	ironic_template_historical_xi_zhicai_hero_water
ironic_template_historical_lady_xiahou_hero_water	4	3k_main_political_party_cao_cao_ruler	ironic_template_historical_lady_xiahou_hero_water
3k_dlc04_template_historical_cao_de_earth	5	3k_main_political_party_cao_cao_ruler	3k_dlc04_template_historical_cao_de_earth
ironic_template_historical_cao_qinghe_hero_earth	6	3k_main_political_party_cao_cao_ruler	ironic_template_historical_cao_qinghe_hero_earth
3k_main_template_historical_cao_ren_hero_earth	7	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_ren_hero_earth
3k_main_template_historical_cao_zhen_hero_earth	8	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_zhen_hero_earth
3k_main_template_historical_cao_zhang_hero_wood	9	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_zhang_hero_wood
ironic_template_historical_wen_qin_hero_earth	10	3k_main_political_party_cao_cao_ruler	ironic_template_historical_wen_qin_hero_earth
3k_main_template_historical_cao_pi_hero_earth	11	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_pi_hero_earth
3k_main_template_historical_cao_ang_hero_wood	12	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_ang_hero_wood
3k_main_template_historical_xiahou_ba_hero_fire	13	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_ba_hero_fire
3k_main_template_historical_li_dian_hero_metal	14	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_li_dian_hero_metal
3k_main_template_historical_cao_song_hero_earth	15	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_cao_song_hero_earth
3k_main_template_historical_lady_bian_huilan_hero_wood	16	3k_main_political_party_cao_cao_ruler	3k_main_template_historical_lady_bian_huilan_hero_wood
ironic_template_historical_zu_mao_hero_wood	1	3k_main_political_party_sun_jian_ruler	ironic_template_historical_zu_mao_hero_wood
ironic_template_historical_sun_shao_hero_fire	2	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_shao_hero_fire
ironic_template_historical_sun_lang_hero_fire	3	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_lang_hero_fire
ironic_template_historical_sun_kuang_hero_earth	4	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_kuang_hero_earth
ironic_template_historical_sun_jing_hero_wood	5	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_jing_hero_wood
ironic_template_historical_sun_hao_hero_water	6	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_hao_hero_water
ironic_template_historical_sun_fu_hero_earth	7	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_fu_hero_earth
ironic_template_historical_sun_ben_hero_fire	8	3k_main_political_party_sun_jian_ruler	ironic_template_historical_sun_ben_hero_fire
3k_mtu_template_historical_lady_wu_minyu_hero_earth	9	3k_main_political_party_sun_jian_ruler	3k_mtu_template_historical_lady_wu_minyu_hero_earth
3k_main_template_historical_zhu_zhi_hero_metal	10	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_zhu_zhi_hero_metal
3k_main_template_historical_zhu_ran_hero_fire	11	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_zhu_ran_hero_fire
3k_main_template_historical_sun_yu_hero_fire	12	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_yu_hero_fire
3k_main_template_historical_sun_yi_hero_fire	13	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_yi_hero_fire
3k_main_template_historical_sun_jiao_hero_fire	14	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_jiao_hero_fire
3k_main_template_historical_sun_he_hero_fire	15	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_sun_he_hero_fire
3k_main_template_historical_lu_su_hero_water	16	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_lu_su_hero_water
3k_main_template_historical_lu_fan_hero_water	17	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_lu_fan_hero_water
3k_main_template_historical_han_dang_hero_fire	18	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_han_dang_hero_fire
3k_main_template_historical_cheng_pu_hero_metal	19	3k_main_political_party_sun_jian_ruler	3k_main_template_historical_cheng_pu_hero_metal
3k_dlc04_template_historical_ying_xun_jiyu_fire	1	3k_main_political_party_ying_shao_190	3k_dlc04_template_historical_ying_xun_jiyu_fire
ironic_template_historical_song_xian_hero_metal	1	3k_main_political_party_lu_bu_190	ironic_template_historical_song_xian_hero_metal
ironic_template_historical_wei_xu_hero_metal	2	3k_main_political_party_lu_bu_190	ironic_template_historical_wei_xu_hero_metal
3k_main_template_historical_cao_xing_hero_wood	3	3k_main_political_party_lu_bu_190	3k_main_template_historical_cao_xing_hero_wood
3k_dlc05_template_historical_hou_cheng_hero_wood	4	3k_main_political_party_lu_bu_190	3k_dlc05_template_historical_hou_cheng_hero_wood
3k_main_template_historical_hao_meng_hero_fire	5	3k_main_political_party_lu_bu_190	3k_main_template_historical_hao_meng_hero_fire
ironic_template_historical_deng_xian_ironic_hero_wood	1	3k_main_political_party_hu_mao_190	ironic_template_historical_deng_xian_ironic_hero_wood
3k_main_template_historical_deng_zhi_hero_fire	2	3k_main_political_party_hu_mao_190	3k_main_template_historical_deng_zhi_hero_fire
3k_main_template_historical_fu_rong_hero_fire	3	3k_main_political_party_hu_mao_190	3k_main_template_historical_fu_rong_hero_fire
ironic_template_historical_heo_hwangok_hero_water	1	3k_main_political_party_gaya_190	ironic_template_historical_heo_hwangok_hero_water
ironic_template_historical_kim_geodeung_hero_water	3	3k_main_political_party_gaya_190	ironic_template_historical_kim_geodeung_hero_water
ironic_template_historical_tam_hari_hero_metal	2	3k_main_political_party_gaya_190	ironic_template_historical_tam_hari_hero_metal
ironic_template_historical_woo_wigeo_hero_water	1	3k_main_political_party_buyeo_190	ironic_template_historical_woo_wigeo_hero_water
ironic_template_historical_go_balgi_ironic_hero_fire	1	3k_main_political_party_goguryeo_190	ironic_template_historical_go_balgi_ironic_hero_fire
ironic_template_historical_go_yeonu_ironic_hero_earth	2	3k_main_political_party_goguryeo_190	ironic_template_historical_go_yeonu_ironic_hero_earth
ironic_template_historical_go_gyesu_ironic_hero_wood	3	3k_main_political_party_goguryeo_190	ironic_template_historical_go_gyesu_ironic_hero_wood
ironic_template_historical_go_uwugeo_ironic_hero_fire	4	3k_main_political_party_goguryeo_190	ironic_template_historical_go_uwugeo_ironic_hero_fire
ironic_template_historical_lady_woo_ironic_hero_metal	5	3k_main_political_party_goguryeo_190	ironic_template_historical_lady_woo_ironic_hero_metal
ironic_template_historical_eul_paso_ironic_hero_water	6	3k_main_political_party_goguryeo_190	ironic_template_historical_eul_paso_ironic_hero_water
ironic_template_historical_mil_u_ironic_hero_metal	7	3k_main_political_party_goguryeo_190	ironic_template_historical_mil_u_ironic_hero_metal
ironic_template_historical_yu_yu_ironic_hero_metal	8	3k_main_political_party_goguryeo_190	ironic_template_historical_yu_yu_ironic_hero_metal
ironic_template_historical_yu_okgu_ironic_hero_fire	9	3k_main_political_party_goguryeo_190	ironic_template_historical_yu_okgu_ironic_hero_fire
ironic_template_historical_seok_naehae_ironic_hero_earth	1	3k_main_political_party_shitla_190	ironic_template_historical_seok_naehae_ironic_hero_earth
ironic_template_historical_lady_sulye_ironic_hero_earth	2	3k_main_political_party_shitla_190	ironic_template_historical_lady_sulye_ironic_hero_earth
ironic_template_historical_lady_seok_ironic_hero_water	3	3k_main_political_party_shitla_190	ironic_template_historical_lady_seok_ironic_hero_water
ironic_template_historical_kim_gudo_ironic_hero_earth	4	3k_main_political_party_shitla_190	ironic_template_historical_kim_gudo_ironic_hero_earth
ironic_template_historical_buyeo_gusu_ironic_hero_fire	1	3k_main_political_party_bakaja_190	ironic_template_historical_buyeo_gusu_ironic_hero_fire
ironic_template_historical_buyeo_usu_ironic_hero_water	2	3k_main_political_party_bakaja_190	ironic_template_historical_buyeo_usu_ironic_hero_water
