campaign_group	effect_type	effect_bundle
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_86	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_86
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_87	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_87
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_88	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_88
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_89	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_89
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_8	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_8
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_90	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_90
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_91	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_91
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_92	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_92
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_93	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_93
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_94	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_94
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_95	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_95
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_96	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_96
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_97	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_97
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_98	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_98
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_99	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_99
3k_dlc05_campaign_group_pooled_resource_lu_bu_personal_victories_level_9	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_lu_bu_personal_victories_level_9
3k_dlc05_campaign_group_pooled_resource_mercenary_activity_level_1	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_mercenary_activity_level_1
3k_dlc05_campaign_group_pooled_resource_mercenary_activity_level_2	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_mercenary_activity_level_2
3k_dlc05_campaign_group_pooled_resource_mercenary_activity_level_3	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_mercenary_activity_level_3
3k_dlc05_campaign_group_pooled_resource_mercenary_activity_level_4	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_mercenary_activity_level_4
3k_dlc05_campaign_group_pooled_resource_mercenary_activity_level_5	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_mercenary_activity_level_5
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_1_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_1_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_1_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_1_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_2_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_2_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_2_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_2_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_3_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_3_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_3_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_3_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_4_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_4_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_4_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_4_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_5_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_5_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_5_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_5_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_6_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_6_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_6_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_6_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_7_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_7_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_7_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_7_normal
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_8_easy	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_8_easy
3k_dlc05_campaign_group_pooled_resource_reckless_luck_level_8_normal	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_pooled_resource_reckless_luck_level_8_normal
3k_dlc05_campaign_group_pooled_resource_shared_expertise	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_shared_expertise
3k_dlc05_campaign_group_pooled_resource_white_tiger_confederation_level_0	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_white_tiger_confederation_level_0
3k_dlc05_campaign_group_pooled_resource_white_tiger_confederation_level_1	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_white_tiger_confederation_level_1
3k_dlc05_campaign_group_pooled_resource_white_tiger_confederation_level_2	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_white_tiger_confederation_level_2
3k_dlc05_campaign_group_pooled_resource_white_tiger_confederation_level_3	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_white_tiger_confederation_level_3
3k_dlc05_campaign_group_pooled_resource_white_tiger_confederation_level_4	ABSOLUTE_VALUE	3k_dlc05_effect_bundle_pooled_resource_white_tiger_confederation_level_4
3k_dlc05_campaign_group_supply_stockpile_abundant_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_6_abundant_bandits
3k_dlc05_campaign_group_supply_stockpile_bandits_absolute_value_dummy	ABSOLUTE_VALUE	3k_main_payload_empty_province
3k_dlc05_campaign_group_supply_stockpile_empty_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_0_empty_bandits
3k_dlc05_campaign_group_supply_stockpile_full_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_5_full_bandits
3k_dlc05_campaign_group_supply_stockpile_limited_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_1_limited_bandits
3k_dlc05_campaign_group_supply_stockpile_stable_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_3_stable_bandits
3k_dlc05_campaign_group_supply_stockpile_supplied_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_4_supplied_bandits
3k_dlc05_campaign_group_supply_stockpile_tight_bandits	PERCENTAGE_OF_CAPACITY	3k_dlc05_effect_bundle_supply_stockpile_2_tight_bandits
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_0	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_0
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_10	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_10
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_11	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_11
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_12	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_12
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_13	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_13
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_14	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_14
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_15	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_15
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_16	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_16
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_17	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_17
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_18	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_18
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_19	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_19
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_1	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_1
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_20	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_20
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_21	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_21
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_22	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_22
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_23	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_23
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_24	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_24
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_25	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_25
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_26	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_26
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_27	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_27
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_28	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_28
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_29	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_29
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_2	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_2
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_30	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_30
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_31	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_31
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_32	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_32
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_33	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_33
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_34	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_34
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_35	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_35
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_36	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_36
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_37	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_37
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_38	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_38
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_39	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_39
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_3	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_3
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_40	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_40
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_41	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_41
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_42	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_42
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_43	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_43
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_44	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_44
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_45	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_45
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_46	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_46
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_47	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_47
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_48	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_48
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_49	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_49
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_4	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_4
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_50	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_50
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_51	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_51
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_52	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_52
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_53	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_53
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_54	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_54
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_55	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_55
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_56	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_56
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_5	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_5
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_6	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_6
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_7	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_7
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_8	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_8
3k_dlc06_campaign_group_pooled_resource_flaming_confinement_level_9	ABSOLUTE_VALUE	k_dlc06_effect_bundle_pooled_resource_flaming_confinement_level_9
3k_dlc06_campaign_group_pooled_resource_goddess_of_fire_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_goddess_of_fire_level_1
3k_dlc06_campaign_group_pooled_resource_goddess_of_fire_level_2	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_goddess_of_fire_level_2
3k_dlc06_campaign_group_pooled_resource_goddess_of_fire_level_3	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_goddess_of_fire_level_3
3k_dlc06_campaign_group_pooled_resource_goddess_of_fire_level_4	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_goddess_of_fire_level_4
3k_dlc06_campaign_group_pooled_resource_mulu_pride_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_mulu_pride_level_1
3k_dlc06_campaign_group_pooled_resource_mulu_pride_level_2	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_mulu_pride_level_2
3k_dlc06_campaign_group_pooled_resource_mulu_pride_level_3	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_mulu_pride_level_3
3k_dlc06_campaign_group_pooled_resource_mulu_pride_level_4	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_mulu_pride_level_4
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_0	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_0
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_1	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_1
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_2	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_2
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_3	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_3
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_4	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_4
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_5	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_5
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_6	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_6
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_7	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_7
3k_dlc06_campaign_group_pooled_resource_mulu_rituals_level_8	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_mulu_rituals_level_8
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_00	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_00
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_01	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_01
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_02	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_02
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_03	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_03
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_04	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_04
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_05	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_05
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_06	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_06
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_07	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_07
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_08	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_08
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_09	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_09
3k_dlc06_campaign_group_pooled_resource_shamoke_confederate_10	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_confederate_10
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_00	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_00
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_01	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_01
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_02	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_02
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_03	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_03
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_04	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_04
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_05	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_05
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_06	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_06
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_07	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_07
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_08	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_08
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_09	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_09
3k_dlc06_campaign_group_pooled_resource_shamoke_vassalise_10	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_shamoke_vassalise_10
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_0	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_0
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_1	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_1
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_2	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_2
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_3	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_3
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_4	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_4
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_5	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_5
3k_dlc06_campaign_group_pooled_resource_shi_xie_family_member_faction_leaders_6	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_shi_xie_family_member_faction_leaders_level_6
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_0	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_0
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_1	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_1
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_2	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_2
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_3	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_3
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_4	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_4
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_5	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_5
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_6	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_6
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_7	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_7
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_8	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_8
3k_dlc06_campaign_group_pooled_resource_smouldering_fire_level_9	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_pooled_resource_smouldering_fire_level_9
3k_dlc06_campaign_group_pooled_resource_splendour_level_1	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_splendour_level_1
3k_dlc06_campaign_group_pooled_resource_splendour_level_2	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_splendour_level_2
3k_dlc06_campaign_group_pooled_resource_splendour_level_3	PERCENTAGE_OF_CAPACITY	3k_dlc06_effect_bundle_pooled_resource_splendour_level_3
3k_dlc06_campaign_group_population_nanman_city_high	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_population_nanman_city_high
3k_dlc06_campaign_group_population_nanman_city_low	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_population_nanman_city_low
3k_dlc06_campaign_group_population_nanman_city_medium	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_population_nanman_city_medium
3k_dlc06_campaign_group_population_nanman_city_super_high	ABSOLUTE_VALUE	3k_dlc06_effect_bundle_population_nanman_city_super_high
