key	character_generation_template	ministerial_position	optional_general_type	optional_specialisation
3k_main_template_historical_deng_zhi_hero_fire	3k_main_template_historical_deng_zhi_hero_fire			
3k_main_template_historical_fu_rong_hero_fire	3k_main_template_historical_fu_rong_hero_fire			
ironic_template_historical_heo_hwangok_hero_water	ironic_template_historical_heo_hwangok_hero_water			
ironic_template_historical_kim_geodeung_hero_water	ironic_template_historical_kim_geodeung_hero_water			
ironic_template_historical_tam_hari_hero_metal	ironic_template_historical_tam_hari_hero_metal			
ironic_template_historical_woo_wigeo_hero_water	ironic_template_historical_woo_wigeo_hero_water			
ironic_template_historical_go_balgi_ironic_hero_fire	ironic_template_historical_go_balgi_ironic_hero_fire			
ironic_template_historical_go_yeonu_ironic_hero_earth	ironic_template_historical_go_yeonu_ironic_hero_earth			
ironic_template_historical_go_gyesu_ironic_hero_wood	ironic_template_historical_go_gyesu_ironic_hero_wood			
ironic_template_historical_go_uwugeo_ironic_hero_fire	ironic_template_historical_go_uwugeo_ironic_hero_fire			
ironic_template_historical_go_bakwigeo_ironic_hero_wood	ironic_template_historical_go_bakwigeo_ironic_hero_wood			
ironic_template_historical_lady_woo_ironic_hero_metal	ironic_template_historical_lady_woo_ironic_hero_metal			
ironic_template_historical_an_ryu_ironic_hero_wood	ironic_template_historical_an_ryu_ironic_hero_wood			
ironic_template_historical_eul_paso_ironic_hero_water	ironic_template_historical_eul_paso_ironic_hero_water			
ironic_template_historical_jwa_garyeo_ironic_hero_metal	ironic_template_historical_jwa_garyeo_ironic_hero_metal			
ironic_template_historical_eo_biryu_ironic_hero_water	ironic_template_historical_eo_biryu_ironic_hero_water			
ironic_template_historical_myeongrim_eosu_ironic_hero_water	ironic_template_historical_myeongrim_eosu_ironic_hero_water			
ironic_template_historical_go_uru_ironic_hero_earth	ironic_template_historical_go_uru_ironic_hero_earth			
ironic_template_historical_mil_u_ironic_hero_metal	ironic_template_historical_mil_u_ironic_hero_metal			
ironic_template_historical_yu_yu_ironic_hero_metal	ironic_template_historical_yu_yu_ironic_hero_metal			
ironic_template_historical_yu_okgu_ironic_hero_fire	ironic_template_historical_yu_okgu_ironic_hero_fire			
ironic_template_historical_go_yeonbul_ironic_hero_earth	ironic_template_historical_go_yeonbul_ironic_hero_earth			
ironic_template_historical_hu_nyeo_ironic_hero_water	ironic_template_historical_hu_nyeo_ironic_hero_water			
ironic_template_historical_deuk_rae_ironic_hero_earth	ironic_template_historical_deuk_rae_ironic_hero_earth			
ironic_template_historical_seok_naehae_ironic_hero_earth	ironic_template_historical_seok_naehae_ironic_hero_earth			
ironic_template_historical_lady_sulye_ironic_hero_earth	ironic_template_historical_lady_sulye_ironic_hero_earth			
ironic_template_historical_seok_naeeum_ironic_hero_wood	ironic_template_historical_seok_naeeum_ironic_hero_wood			
ironic_template_historical_lady_seok_ironic_hero_water	ironic_template_historical_lady_seok_ironic_hero_water			
ironic_template_historical_kim_gudo_ironic_hero_earth	ironic_template_historical_kim_gudo_ironic_hero_earth			
ironic_template_historical_buyeo_gusu_ironic_hero_fire	ironic_template_historical_buyeo_gusu_ironic_hero_fire			
ironic_template_historical_buyeo_usu_ironic_hero_water	ironic_template_historical_buyeo_usu_ironic_hero_water			
