ceo_initial_data	stage	initial_data_stage
3k_dlc05_ceo_initial_data_character_historical_tian_kai	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc05_ceo_initial_data_character_historical_tian_kai	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_tian_kai	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_tian_kai	3	3k_main_ceo_initial_data_character_historical_tian_kai_ancillaries
3k_dlc05_ceo_initial_data_character_historical_tian_kai	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc05_ceo_initial_data_character_historical_wu_jing	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_wu_jing	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_wu_jing
3k_dlc05_ceo_initial_data_character_historical_wu_jing	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_wu_jing	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_wu_jing	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_wu_jing	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc05_ceo_initial_data_character_historical_wu_jing	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_wu_jing	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_wu_jing	3	3k_main_ceo_initial_data_character_generic_fire_ancillaries_01
3k_dlc05_ceo_initial_data_character_historical_wu_jing	4	3k_main_ceo_initial_data_equipment_permissions_generic_fire
3k_dlc05_ceo_initial_data_character_historical_xu_shao	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_xu_shao	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_xu_shao
3k_dlc05_ceo_initial_data_character_historical_xu_shao	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_xu_shao	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_xu_shao	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_xu_shao	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc05_ceo_initial_data_character_historical_xu_shao	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_xu_shao	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_xu_shao	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_01
3k_dlc05_ceo_initial_data_character_historical_xu_shao	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc05_ceo_initial_data_character_historical_xu_you	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_xu_you	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_xu_you
3k_dlc05_ceo_initial_data_character_historical_xu_you	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_xu_you	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_xu_you	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_xu_you	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc05_ceo_initial_data_character_historical_xu_you	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_xu_you	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_xu_you	3	3k_main_ceo_initial_data_character_historical_xu_you_ancillaries
3k_dlc05_ceo_initial_data_character_historical_xu_you	4	3k_main_ceo_initial_data_equipment_permissions_unique_water
3k_dlc05_ceo_initial_data_character_historical_xue_li	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_xue_li	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_xue_li
3k_dlc05_ceo_initial_data_character_historical_xue_li	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_xue_li	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_xue_li	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_xue_li	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc05_ceo_initial_data_character_historical_xue_li	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_xue_li	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_xue_li	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_01
3k_dlc05_ceo_initial_data_character_historical_xue_li	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc05_ceo_initial_data_character_historical_yang_feng	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_yang_feng	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_yang_feng
3k_dlc05_ceo_initial_data_character_historical_yang_feng	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_yang_feng	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_yang_feng	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_yang_feng	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc05_ceo_initial_data_character_historical_yang_feng	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_yang_feng	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_yang_feng	3	3k_main_ceo_initial_data_character_historical_yang_feng_ancillaries
3k_dlc05_ceo_initial_data_character_historical_yang_feng	4	3k_main_ceo_initial_data_equipment_permissions_unique_wood
3k_dlc05_ceo_initial_data_character_historical_yang_hong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_yang_hong	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_yang_hong
3k_dlc05_ceo_initial_data_character_historical_yang_hong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_yang_hong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_yang_hong	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_yang_hong	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc05_ceo_initial_data_character_historical_yang_hong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_yang_hong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc05_ceo_initial_data_character_historical_yang_hong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_yang_hong	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_02
3k_dlc05_ceo_initial_data_character_historical_yang_hong	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc05_ceo_initial_data_character_historical_yu_fan	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_yu_fan	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_yu_fan
3k_dlc05_ceo_initial_data_character_historical_yu_fan	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_yu_fan	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_yu_fan	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_yu_fan	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc05_ceo_initial_data_character_historical_yu_fan	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_yu_fan	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc05_ceo_initial_data_character_historical_yu_fan	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_yu_fan	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_02
3k_dlc05_ceo_initial_data_character_historical_yu_fan	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	11	3k_dlc05_ceo_initial_data_character_traits_historical_yuan_huan
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	3	3k_main_ceo_initial_data_character_generic_earth_ancillaries_02
3k_dlc05_ceo_initial_data_character_historical_yuan_huan	4	3k_main_ceo_initial_data_equipment_permissions_generic_earth
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_yuan_tan
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	3	3k_main_ceo_initial_data_character_historical_yuan_tan_ancillaries
3k_dlc05_ceo_initial_data_character_historical_yuan_tan	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc05_ceo_initial_data_character_historical_zang_ba	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zang_ba	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_zang_ba
3k_dlc05_ceo_initial_data_character_historical_zang_ba	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zang_ba	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zang_ba	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zang_ba	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc05_ceo_initial_data_character_historical_zang_ba	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zang_ba	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zang_ba	3	3k_main_ceo_initial_data_character_generic_wood_ancillaries_01
3k_dlc05_ceo_initial_data_character_historical_zang_ba	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	11	3k_dlc05_ceo_initial_data_character_traits_historical_zao_zhi
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	3	3k_main_ceo_initial_data_character_generic_wood_ancillaries_01
3k_dlc05_ceo_initial_data_character_historical_zao_zhi	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc05_ceo_initial_data_character_historical_ze_rong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_ze_rong	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_ze_rong
3k_dlc05_ceo_initial_data_character_historical_ze_rong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_ze_rong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_ze_rong	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_ze_rong	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc05_ceo_initial_data_character_historical_ze_rong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_ze_rong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_ze_rong	3	3k_main_ceo_initial_data_character_historical_ze_rong_ancillaries
3k_dlc05_ceo_initial_data_character_historical_ze_rong	4	3k_main_ceo_initial_data_equipment_permissions_unique_fire
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_zhang_fang
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	3	3k_dlc05_ceo_initial_data_character_historical_zhang_fang_ancillaries
3k_dlc05_ceo_initial_data_character_historical_zhang_fang	4	3k_main_ceo_initial_data_equipment_permissions_unique_earth
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_zhang_hong
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	3	3k_main_ceo_initial_data_character_historical_zhang_hong_ancillaries
3k_dlc05_ceo_initial_data_character_historical_zhang_hong	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	11	3k_main_ceo_initial_data_stage_character_traits_historical_zhang_lu
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	3	3k_main_ceo_initial_data_character_historical_zhang_lu_ancillaries
3k_dlc05_ceo_initial_data_character_historical_zhang_lu	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	1	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	11	3k_dlc05_ceo_initial_data_character_traits_historical_zhang_miao
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	3	3k_main_ceo_initial_data_character_generic_water_ancillaries_02
3k_dlc05_ceo_initial_data_character_historical_zhang_miao	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_zhang_xiu
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	3	3k_main_ceo_initial_data_character_historical_zhang_xiu_ancillaries
3k_dlc05_ceo_initial_data_character_historical_zhang_xiu	4	3k_main_ceo_initial_data_equipment_permissions_generic_fire
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	11	3k_dlc05_ceo_initial_data_stage_character_traits_historical_zhang_zhao
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	17	3k_main_ceo_initial_data_stage_character_childhood_water
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	20	3k_main_ceo_initial_data_stage_character_potential_legendary
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	21	3k_dlc04_ceo_initial_data_character_give_political_support_random
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	3	3k_main_ceo_initial_data_character_historical_zhang_zhao_ancillaries
3k_dlc05_ceo_initial_data_character_historical_zhang_zhao	4	3k_main_ceo_initial_data_equipment_permissions_generic_water
3k_dlc05_initial_data_character_historical_mi_fang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc05_initial_data_character_historical_mi_fang	11	3k_main_ceo_initial_data_stage_character_traits_generated_minister_metal
3k_dlc05_initial_data_character_historical_mi_fang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc05_initial_data_character_historical_mi_fang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc05_initial_data_character_historical_mi_fang	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc05_initial_data_character_historical_mi_fang	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc05_initial_data_character_historical_mi_fang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc05_initial_data_character_historical_mi_fang	3	3k_dlc05_ceo_initial_data_character_historical_mi_fang_ancillaries
3k_dlc05_initial_data_character_historical_mi_fang	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc05_initial_data_faction_lu_bu	15	3k_dlc05_ceo_initial_data_stage_faction_titles_all
3k_dlc05_initial_data_faction_lu_bu	2	3k_main_ceo_initial_data_faction_ancillaries_all
3k_dlc05_initial_data_faction_lu_bu	3	3k_dlc05_ceo_initial_data_faction_lu_bu_stage1
3k_dlc05_initial_data_faction_sun_ce	15	3k_dlc05_ceo_initial_data_stage_faction_titles_all
3k_dlc05_initial_data_faction_sun_ce	2	3k_main_ceo_initial_data_faction_ancillaries_all
3k_dlc05_initial_data_faction_sun_ce	3	3k_dlc05_ceo_initial_data_faction_sun_ce_stage1
3k_dlc06_ceo_initial_data_character_historical_shi_hui	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc06_ceo_initial_data_character_historical_shi_hui	11	3k_dlc06_ceo_initial_data_stage_character_traits_historical_shi_hui
3k_dlc06_ceo_initial_data_character_historical_shi_hui	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc06_ceo_initial_data_character_historical_shi_hui	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc06_ceo_initial_data_character_historical_shi_hui	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc06_ceo_initial_data_character_historical_shi_hui	17	3k_main_ceo_initial_data_stage_character_childhood_earth
3k_dlc06_ceo_initial_data_character_historical_shi_hui	2	3k_main_initial_data_character_ancillaries_global
3k_dlc06_ceo_initial_data_character_historical_shi_hui	3	3k_main_ceo_initial_data_character_generic_earth_ancillaries_02
3k_dlc06_ceo_initial_data_character_historical_shi_hui	4	3k_main_ceo_initial_data_equipment_permissions_generic_earth
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	11	3k_dlc06_ceo_initial_data_stage_character_traits_historical_shi_kuang
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	17	3k_main_ceo_initial_data_stage_character_childhood_fire
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	2	3k_main_initial_data_character_ancillaries_global
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	3	3k_main_ceo_initial_data_character_generic_fire_ancillaries_02
3k_dlc06_ceo_initial_data_character_historical_shi_kuang	4	3k_main_ceo_initial_data_equipment_permissions_generic_fire
3k_dlc06_ceo_initial_data_character_historical_shi_wei	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc06_ceo_initial_data_character_historical_shi_wei	11	3k_dlc06_ceo_initial_data_stage_character_traits_historical_shi_wei
3k_dlc06_ceo_initial_data_character_historical_shi_wei	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc06_ceo_initial_data_character_historical_shi_wei	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc06_ceo_initial_data_character_historical_shi_wei	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc06_ceo_initial_data_character_historical_shi_wei	17	3k_main_ceo_initial_data_stage_character_childhood_metal
3k_dlc06_ceo_initial_data_character_historical_shi_wei	2	3k_main_initial_data_character_ancillaries_global
3k_dlc06_ceo_initial_data_character_historical_shi_wei	3	3k_main_ceo_initial_data_character_generic_metal_ancillaries_01
3k_dlc06_ceo_initial_data_character_historical_shi_wei	4	3k_main_ceo_initial_data_equipment_permissions_generic_metal
3k_dlc06_ceo_initial_data_character_historical_shi_xin	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc06_ceo_initial_data_character_historical_shi_xin	11	3k_dlc06_ceo_initial_data_stage_character_traits_historical_shi_xin
3k_dlc06_ceo_initial_data_character_historical_shi_xin	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc06_ceo_initial_data_character_historical_shi_xin	14	3k_main_ceo_initial_data_stage_character_protagonist
3k_dlc06_ceo_initial_data_character_historical_shi_xin	15	3k_main_ceo_initial_data_stage_character_wealth_random
3k_dlc06_ceo_initial_data_character_historical_shi_xin	17	3k_main_ceo_initial_data_stage_character_childhood_wood
3k_dlc06_ceo_initial_data_character_historical_shi_xin	2	3k_main_initial_data_character_ancillaries_global
3k_dlc06_ceo_initial_data_character_historical_shi_xin	3	3k_main_ceo_initial_data_character_generic_wood_ancillaries_01
3k_dlc06_ceo_initial_data_character_historical_shi_xin	4	3k_main_ceo_initial_data_equipment_permissions_generic_wood
3k_dlc06_ceo_initial_data_character_historical_shi_zhi	10	3k_main_ceo_initial_data_stage_character_traits_shared_global_permissions
3k_dlc06_ceo_initial_data_character_historical_shi_zhi	11	3k_dlc06_ceo_initial_data_stage_character_traits_historical_shi_zhi
3k_dlc06_ceo_initial_data_character_historical_shi_zhi	13	3k_main_ceo_initial_data_stage_character_gender_male
3k_dlc06_ceo_initial_data_character_historical_shi_zhi	14	3k_main_ceo_initial_data_stage_character_protagonist
